pcode1,pcode2,pcode3,match_shape,TF
VE21,VE2104,VE210405,VE210405,TRUE
VE21,VE2106,VE210601,VE210601,TRUE
VE21,VE2106,VE210603,VE210603,TRUE
VE21,VE2109,VE210901,VE210901,TRUE
VE21,VE2110,VE211002,VE211002,TRUE
VE21,VE2110,VE211004,VE211004,TRUE
VE21,VE2111,VE211102,VE211102,TRUE
VE21,VE2112,VE211201,VE211201,TRUE
VE21,VE2112,VE211202,VE211202,TRUE
VE21,VE2112,VE211203,VE211203,TRUE
VE21,VE2113,VE211301,VE211301,TRUE
VE21,VE2113,VE211302,VE211302,TRUE
VE21,VE2113,VE211303,VE211303,TRUE
VE21,VE2113,VE211304,VE211304,TRUE
VE21,VE2114,VE211401,VE211401,TRUE
VE21,VE2114,VE211402,VE211402,TRUE
VE21,VE2114,VE211403,VE211403,TRUE
VE21,VE2115,VE211501,VE211501,TRUE
VE21,VE2115,VE211503,VE211503,TRUE
VE21,VE2115,VE211504,VE211504,TRUE
VE21,VE2116,VE211601,VE211601,TRUE
VE21,VE2116,VE211602,VE211602,TRUE
VE21,VE2116,VE211604,VE211604,TRUE
VE21,VE2117,VE211701,VE211701,TRUE
VE21,VE2117,VE211704,VE211704,TRUE
VE21,VE2118,VE211801,VE211801,TRUE
VE21,VE2118,VE211802,VE211802,TRUE
VE21,VE2118,VE211803,VE211803,TRUE
VE21,VE2118,VE211804,VE211804,TRUE
VE21,VE2118,VE211805,VE211805,TRUE
VE21,VE2118,VE211806,VE211806,TRUE
VE21,VE2118,VE211807,VE211807,TRUE
VE21,VE2119,VE211901,VE211901,TRUE
VE21,VE2119,VE211905,VE211905,TRUE
VE21,VE2120,VE212001,VE212001,TRUE
VE21,VE2120,VE212002,VE212002,TRUE
VE21,VE2120,VE212003,VE212003,TRUE
VE21,VE2120,VE212004,VE212004,TRUE
VE21,VE2120,VE212005,VE212005,TRUE
VE22,VE2201,VE220100,VE220100,TRUE
VE22,VE2202,VE220201,VE220201,TRUE
VE22,VE2203,VE220301,VE220301,TRUE
VE22,VE2204,VE220400,VE220400,TRUE
VE22,VE2205,VE220500,VE220500,TRUE
VE22,VE2206,VE220600,VE220600,TRUE
VE22,VE2207,VE220700,VE220700,TRUE
VE22,VE2208,VE220800,VE220800,TRUE
VE22,VE2209,VE220901,VE220901,TRUE
VE22,VE2209,VE220902,VE220902,TRUE
VE22,VE2210,VE221001,VE221001,TRUE
VE22,VE2211,VE221101,VE221101,TRUE
VE22,VE2211,VE221102,VE221102,TRUE
VE22,VE2211,VE221103,VE221103,TRUE
VE22,VE2212,VE221200,VE221200,TRUE
VE22,VE2213,VE221300,VE221300,TRUE
VE22,VE2214,VE221401,VE221401,TRUE
VE22,VE2214,VE221402,VE221402,TRUE
VE23,VE2301,VE230101,VE230101,TRUE
VE23,VE2302,VE230204,VE230204,TRUE
VE23,VE2303,VE230301,VE230301,TRUE
VE23,VE2303,VE230302,VE230302,TRUE
VE23,VE2303,VE230303,VE230303,TRUE
VE23,VE2303,VE230304,VE230304,TRUE
VE23,VE2303,VE230307,VE230307,TRUE
VE23,VE2305,VE230501,VE230501,TRUE
VE23,VE2306,VE230603,VE230603,TRUE
VE23,VE2307,VE230701,VE230701,TRUE
VE23,VE2307,VE230702,VE230702,TRUE
VE23,VE2307,VE230703,VE230703,TRUE
VE23,VE2307,VE230704,VE230704,TRUE
VE23,VE2308,VE230801,VE230801,TRUE
VE23,VE2309,VE230901,VE230901,TRUE
VE23,VE2309,VE230902,VE230902,TRUE
VE23,VE2309,VE230903,VE230903,TRUE
VE23,VE2310,VE231002,VE231002,TRUE
VE23,VE2310,VE231101,VE231101,TRUE
VE23,VE2311,VE231102,VE231102,TRUE
VE23,VE2311,VE231104,VE231104,TRUE
VE23,VE2312,VE231201,VE231201,TRUE
VE23,VE2312,VE231202,VE231202,TRUE
VE23,VE2312,VE231204,VE231204,TRUE
VE23,VE2312,VE231206,VE231206,TRUE
VE23,VE2312,VE231207,VE231207,TRUE
VE23,VE2313,VE231301,VE231301,TRUE
